💰 資本: NT$30000.00 | 持倉: 0 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 持倉: 3 | 勝率: --% | PnL: NT$0.00
💰 資本: NT$30000.00 | 未實現: NT$0.00 | 持倉: 1 | 勝率: --% | 報酬: 0.00% | 剩餘: 47.9h
💰 資本: NT$30000.00 | 未實現: NT$-6.38 | 持倉: 1 | 勝率: --% | 報酬: 0.00% | 剩餘: 47.8h
💰 資本: NT$30000.00 | 未實現: NT$-36.17 | 持倉: 1 | 勝率: --% | 報酬: 0.00% | 剩餘: 47.7h
💰 資本: NT$30000.00 | 未實現: NT$-32.52 | 持倉: 1 | 勝率: --% | 報酬: 0.00% | 剩餘: 47.6h
